area_per_mol,surface_pressure,sdt,barrier_pos,cell2_value,force_value,surface_tension,current_area_ang,mave1,mave2,"tare_offset1, tare_offset2"
100,22.482918125794985,19324.466045320973,0,-0.0006980259833447554,-0.6520127194985799,50.26708187420502,1.5785e+18,50.26708187420502,-0.0006980259833447554,4800545.27,5594690.19
100,22.484776420541195,19324.46605199706,0,0.00033937993670873375,-0.6520666107152061,50.265223579458805,1.5785e+18,50.26615272683191,-0.0001793230233180108,4800545.27,5594690.19
100,22.513115415420874,19324.466063060972,0,0.0008782921029702865,-0.652888451768755,50.23688458457913,1.5785e+18,50.256396679414316,0.00017321535211142162,4800545.27,5594690.19
100,22.49964277851086,19324.466075266733,0,0.0005684176073698937,-0.6524977404482153,50.25035722148914,1.5785e+18,50.25488681493302,0.0002720159159260397,4800545.27,5594690.19
100,22.51683200491329,19324.46608414391,0,0.0007435640614048984,-0.6529962342020073,50.23316799508671,1.5785e+18,50.25054305096376,0.00036632554502181146,4800545.27,5594690.19
100,22.520084020719153,19324.46609411537,0,0.0019426436313368532,-0.653090543831103,50.22991597928085,1.5785e+18,50.247105205683276,0.0006290452260743184,4800545.27,5594690.19
100,22.496390762704998,19324.466102978415,0,0.0011881665985706794,-0.6524034308191196,50.253609237295,1.5785e+18,50.248034353056376,0.0007089197078595128,4800545.27,5594690.19
100,22.50335936800328,19324.466112962316,0,0.0019830620438064696,-0.6526055228814677,50.24664063199672,1.5785e+18,50.24786013792392,0.0008681874998528824,4800545.27,5594690.19
100,22.53216293656951,19324.466125166688,0,0.0021716813019980134,-0.653440836739173,50.217837063430494,1.5785e+18,50.24452424075798,0.0010130201445356746,4800545.27,5594690.19
100,22.555391620897115,19324.466135146457,0,0.0026701750557899494,-0.654114476947,50.19460837910289,1.5785e+18,50.23953265459247,0.001178735635661102,4800545.27,5594690.19
100,22.554927047210565,19324.466142905047,0,0.002710593468259566,-0.6541010041428434,50.19507295278943,1.5785e+18,50.23549086351947,0.0013179954386245989,4800545.27,5594690.19
100,22.585588910523004,19324.466155114987,0,0.0035593801301215117,-0.654990209217175,50.164411089477,1.5785e+18,50.22956754901593,0.0015047774962493414,4800545.27,5594690.19
100,22.581872321030588,19324.46616620251,0,0.0031282503971122692,-0.6548824267839227,50.16812767896941,1.5785e+18,50.2248414051662,0.0016296600270849513,4800545.27,5594690.19
100,22.574439142045755,19324.46617618655,0,0.003518961717651895,-0.6546668619174181,50.175560857954245,1.5785e+18,50.22132136607963,0.0017646101478397329,4800545.27,5594690.19
100,22.602778136925433,19324.466188375554,0,0.003815363409095749,-0.655488702970967,50.14722186307456,1.5785e+18,50.21638139921263,0.0019013270319234673,4800545.27,5594690.19
100,22.641337752909262,19324.466203899512,0,0.005580300753602334,-0.6566069457159597,50.108662247090734,1.5785e+18,50.20964895220501,0.0021312628895283968,4800545.27,5594690.19
100,22.693370005803096,19324.466222753636,0,0.006469505827933896,-0.658115899781492,50.0566299941969,1.5785e+18,50.20064783702806,0.002386453650611073,4800545.27,5594690.19
100,22.704055200593796,19324.46623717574,0,0.006712016302751595,-0.6584257742770924,50.0459447994062,1.5785e+18,50.192053223826846,0.002626762686841102,4800545.27,5594690.19
100,22.70033861110138,19324.466249362224,0,0.0060518488990811935,-0.6583179918438401,50.04966138889862,1.5785e+18,50.18455891672536,0.0028070303822221596,4800545.27,5594690.19
100,22.686865974191367,19324.466262659607,0,0.005593773557758874,-0.6579272805233004,50.06313402580864,1.5785e+18,50.17848767217952,0.0029463675409989953,4800545.27,5594690.19
