----isotherm parameters----
start time: ,2022-12-02 14:58:42.889816+00:00
end time: ,2022-12-02 15:01:06.581700+00:00
number of smooting values: ,1
total sample steps: ,1500
stepper delay: ,0.005
area_change_expected: ,9.98993e+17
molecules deposited: ,1.3247503572e+16
moles in: ,2.1998e-08
plate perimeter: ,25.08036
plate width: ,12.54
isotherm type: ,Compression
area_per_mol: ,38.82240885649117
area_per_step: ,665995333333333.4
trough_open_ang: ,1.513293e+18
barrier_pos: ,1500
barrier_closed: ,1500
----isotherm data----
area_per_molecule (Ang^2/molecule),surface pressure (mN/m)
114.18204165377723,-0.14209590060890936
114.13176838306525,-0.12841035297614634
114.08149511235325,-0.1209973480083997
114.03122184164125,-0.1209973480083997
113.98094857092927,-0.13354243333843246
113.93067530021727,-0.13354243333843246
113.88040202950528,-0.12612942837068583
113.8301287587933,-0.12612942837068583
113.7798554880813,-0.15293029248484674
113.7295822173693,-0.1557814482416724
113.67930894665732,-0.1557814482416724
113.62903567594532,-0.1557814482416724
113.57876240523332,-0.16319445320941903
113.52848913452134,-0.16319445320941903
113.47821586380934,-0.15863260399849802
113.42794259309734,-0.15863260399849802
113.37766932238536,-0.16262422205805388
113.32739605167336,-0.16262422205805388
113.27712278096136,-0.15806237284713287
113.22684951024938,-0.14152566945754425
113.17657623953738,-0.14152566945754425
113.12630296882539,-0.1472279809711955
113.0760296981134,-0.1472279809711955
113.0257564274014,-0.16205399090668876
112.9754831566894,-0.16205399090668876
112.92520988597742,-0.14665774981983035
112.87493661526543,-0.14665774981983035
112.82466334455343,-0.14893867442529088
112.77439007384145,-0.15121959903075138
112.72411680312945,-0.15121959903075138
112.67384353241745,-0.17516930738808667
112.62357026170547,-0.17516930738808667
112.57329699099347,-0.15863260399849802
112.52302372028147,-0.15121959903075138
112.47275044956949,-0.18714416156675429
112.42247717885749,-0.18714416156675429
112.3722039081455,-0.18600369926402405
112.32193063743351,-0.18600369926402405
112.27165736672151,-0.17973115659900768
112.22138409600952,-0.18714416156675429
112.17111082529753,-0.18486323696129378
112.12083755458553,-0.18486323696129378
112.07056428387354,-0.1694669958744354
112.02029101316154,-0.1694669958744354
111.97001774244956,-0.17745023199354715
111.91974447173756,-0.17745023199354715
111.86947120102556,-0.16547537781487953
111.81919793031358,-0.16547537781487953
111.76892465960158,-0.18771439271811943
111.71865138888958,-0.18771439271811943
111.6683781181776,-0.17973115659900768
111.6181048474656,-0.17688000084218203
111.5678315767536,-0.17688000084218203
111.51755830604162,-0.1603432974525934
111.46728503532962,-0.1603432974525934
111.41701176461763,-0.1603432974525934
111.36673849390564,-0.16319445320941903
111.31646522319365,-0.16319445320941903
111.26619195248165,-0.16319445320941903
111.21591868176966,-0.17459907623672155
111.16564541105767,-0.18657393041538917
111.11537214034567,-0.19227624192904044
111.06509886963369,-0.2071022518645337
111.01482559892169,-0.2071022518645337
110.96455232820969,-0.2002594780481522
110.91427905749771,-0.18600369926402405
110.86400578678571,-0.18600369926402405
110.81373251607371,-0.1899953173235799
110.76345924536173,-0.1899953173235799
110.71318597464973,-0.17003722702580054
110.66291270393774,-0.17003722702580054
110.61263943322575,-0.17459907623672155
110.56236616251375,-0.1888548550208497
110.51209289180176,-0.19284647308040556
110.46181962108977,-0.20139994035088243
110.41154635037778,-0.20139994035088243
110.36127307966578,-0.1899953173235799
110.3109998089538,-0.1899953173235799
110.2607265382418,-0.18315254350719842
110.2104532675298,-0.18030138775037277
110.16017999681782,-0.17231815163126102
110.10990672610582,-0.17231815163126102
110.05963345539382,-0.17231815163126102
110.00936018468184,-0.18771439271811943
109.95908691396984,-0.18771439271811943
109.90881364325784,-0.18087161890173792
109.85854037254586,-0.1717479204798959
109.80826710183386,-0.17288838278262617
109.75799383112187,-0.1785906942962774
109.70772056040988,-0.1785906942962774
109.65744728969788,-0.1785906942962774
109.60717401898589,-0.17459907623672155
109.5569007482739,-0.17459907623672155
109.5066274775619,-0.19341670423177068
109.45635420684991,-0.2093831764699942
109.40608093613793,-0.2093831764699942
109.35580766542593,-0.19911901574542193
109.30553439471393,-0.19911901574542193
109.25526112400195,-0.23048172907050385
109.20498785328995,-0.23048172907050385
109.15471458257795,-0.21052363877272445
109.10444131186597,-0.21052363877272445
109.05416804115397,-0.21109386992408957
109.00389477044197,-0.20368086495634297
108.95362149972999,-0.20368086495634297
108.903348229018,-0.18372277465856354
108.853074958306,-0.18372277465856354
108.80280168759401,-0.18771439271811943
108.75252841688201,-0.18771439271811943
108.70225514617002,-0.17688000084218203
108.65198187545802,-0.17288838278262617
108.60170860474604,-0.17060745817716563
108.55143533403404,-0.1649051466635144
108.50116206332204,-0.15635167939303748
108.45088879261006,-0.15635167939303748
108.40061552189806,-0.19398693538313583
108.35034225118606,-0.19398693538313583
108.30006898047408,-0.154070754787577
108.24979570976208,-0.154070754787577
108.19952243905009,-0.154070754787577
108.1492491683381,-0.154070754787577
108.0989758976261,-0.154070754787577
108.0487026269141,-0.1409554383061791
107.99842935620212,-0.1517898301821165
107.94815608549013,-0.1409554383061791
107.89788281477813,-0.1141545741920182
107.84760954406615,-0.10845226267836694
107.79733627335415,-0.11985688570566945
107.74706300264215,-0.11985688570566945
107.69678973193017,-0.11814619225157408
107.64651646121817,-0.11244388073792283
107.59624319050617,-0.11244388073792283
107.54596991979419,-0.09191555928877829
107.49569664908219,-0.09191555928877829
107.4454233783702,-0.13354243333843246
107.39515010765821,-0.13354243333843246
107.34487683694621,-0.11700572994884384
107.29460356623422,-0.11700572994884384
107.24433029552223,-0.13867451370071862
107.19405702481023,-0.16262422205805388
107.14378375409824,-0.11985688570566945
107.09351048338625,-0.11985688570566945
107.04323721267426,-0.11985688570566945
106.99296394196226,-0.10617133807290643
106.94269067125028,-0.10617133807290643
106.89241740053828,-0.14665774981983035
106.84214412982628,-0.14665774981983035
106.7918708591143,-0.12270804146249509
106.7415975884023,-0.09305602159150855
106.6913243176903,-0.09305602159150855
106.64105104697832,-0.12669965952205098
106.59077777626632,-0.14209590060890936
106.54050450555432,-0.12841035297614634
106.49023123484234,-0.12841035297614634
106.43995796413034,-0.1341126644897976
106.38968469341835,-0.1341126644897976
106.33941142270636,-0.1341126644897976
106.28913815199436,-0.13297220218706735
106.23886488128237,-0.13297220218706735
106.18859161057038,-0.12156757915976484
106.13831833985839,-0.12156757915976484
106.08804506914639,-0.12612942837068583
106.0377717984344,-0.12612942837068583
105.98749852772241,-0.12612942837068583
105.93722525701041,-0.12898058412751146
105.88695198629843,-0.13069127758160684
105.83667871558643,-0.12498896606795558
105.78640544487443,-0.12498896606795558
105.73613217416245,-0.13924474485208374
105.68585890345045,-0.14437682521436987
105.63558563273845,-0.14437682521436987
105.58531236202647,-0.10845226267836694
105.53503909131447,-0.10845226267836694
105.48476582060248,-0.11301411188928795
105.43449254989049,-0.11301411188928795
105.3842192791785,-0.10217972001335056
105.3339460084665,-0.10217972001335056
105.2836727377545,-0.10217972001335056
105.23339946704252,-0.08849417238058754
105.18312619633052,-0.08849417238058754
105.13285292561852,-0.10902249382973207
105.08257965490654,-0.11700572994884384
105.03230638419454,-0.11700572994884384
104.98203311348254,-0.08792394122922241
104.93175984277056,-0.08279186086693628
104.88148657205856,-0.08165139856420603
104.83121330134657,-0.08165139856420603
104.78094003063458,-0.07480862474782453
104.73066675992258,-0.08963463468331778
104.68039348921059,-0.09305602159150855
104.6301202184986,-0.1056011069215413
104.5798469477866,-0.1056011069215413
104.52957367707461,-0.11358434304065307
104.47930040636263,-0.11358434304065307
104.42902713565063,-0.10959272498109719
104.37875386493863,-0.10959272498109719
104.32848059422665,-0.10959272498109719
104.27820732351465,-0.10959272498109719
104.22793405280265,-0.10959272498109719
104.17766078209067,-0.09761787080242955
104.12738751137867,-0.09476671504560392
104.07711424066667,-0.09476671504560392
104.02684096995469,-0.0987583331051598
103.9765676992427,-0.1050308757701762
103.9262944285307,-0.1050308757701762
103.87602115781871,-0.13297220218706735
103.82574788710671,-0.13297220218706735
103.77547461639472,-0.13012104643024172
103.72520134568273,-0.12841035297614634
103.67492807497074,-0.09932856425652492
103.62465480425874,-0.09932856425652492
103.57438153354676,-0.1050308757701762
103.52410826283476,-0.1141545741920182
103.47383499212276,-0.1141545741920182
103.42356172141078,-0.0964774084996993
103.37328845069878,-0.0964774084996993
103.32301517998678,-0.11358434304065307
103.2727419092748,-0.10389041346744593
103.2224686385628,-0.09134532813741318
103.1721953678508,-0.08906440353195268
103.12192209713882,-0.08906440353195268
103.07164882642682,-0.08735371007785729
103.02137555571483,-0.08906440353195268
102.97110228500284,-0.10674156922427157
102.92082901429085,-0.11073318728382744
102.87055574357885,-0.1164354987974787
102.82028247286686,-0.11472480534338333
102.77000920215487,-0.1164354987974787
102.71973593144287,-0.12327827261386021
102.66946266073089,-0.15977306630122826
102.61918939001889,-0.18144185005310304
102.56891611930689,-0.18144185005310304
102.51864284859491,-0.21622595028637573
102.46836957788291,-0.21622595028637573
102.41809630717091,-0.19056554847494506
102.36782303645893,-0.19056554847494506
102.31754976574693,-0.20197017150224758
102.26727649503493,-0.23504357828142486
102.21700322432295,-0.24131612094644123
102.16672995361095,-0.24815889476282277
102.11645668289896,-0.2709681408174278
102.06618341218697,-0.2709681408174278
102.01591014147498,-0.2709681408174278
101.96563687076298,-0.34224703473806856
101.915363600051,-0.34224703473806856
101.865090329339,-0.34224703473806856
101.814817058627,-0.34224703473806856
101.764543787915,-0.4180877778696302
101.71427051720302,-0.4180877778696302
101.66399724649102,-0.4169473155669
101.61372397577902,-0.4169473155669
101.56345070506704,-0.4545825715569983
101.51317743435504,-0.4545825715569983
101.46290416364305,-0.45515280270836345
101.41263089293106,-0.4688383503411264
101.36235762221906,-0.4887964406389058
101.31208435150707,-0.5047629128771294
101.26181108079508,-0.5047629128771294
101.21153781008309,-0.5207293851153528
101.16126453937109,-0.5207293851153528
101.1109912686591,-0.5207293851153528
101.06071799794711,-0.539547013110402
101.01044472723511,-0.5406874754131322
100.96017145652313,-0.5463897869267835
100.90989818581113,-0.5463897869267835
100.85962491509913,-0.4967796767580176
100.80935164438715,-0.4967796767580176
100.75907837367515,-0.4967796767580176
100.70880510296315,-0.4967796767580176
100.65853183225117,-0.49050713409300123
100.60825856153917,-0.48708574718481046
100.55798529082718,-0.48708574718481046
100.50771202011519,-0.48594528488208016
100.4574387494032,-0.4728299684006823
100.4071654786912,-0.45401234040563315
100.35689220797921,-0.42093893362645585
100.30661893726722,-0.36961813000359456
100.25634566655522,-0.3679074365494992
100.20607239584324,-0.3679074365494992
100.15579912513124,-0.33597449207305213
100.10552585441924,-0.2960583114774933
100.05525258370726,-0.2960583114774933
100.00497931299526,-0.28351322614746055
99.95470604228326,-0.20596178956180344
99.90443277157128,-0.1854334681126589
99.85415950085928,-0.17345861393399128
99.80388623014728,-0.16661584011760977
99.7536129594353,-0.14209590060890936
99.7033396887233,-0.11301411188928795
99.6530664180113,-0.09362625274287366
99.60279314729932,-0.08165139856420603
99.55251987658733,-0.08165139856420603
99.50224660587533,-0.08963463468331778
99.45197333516334,-0.08963463468331778
99.40170006445135,-0.08450255432103165
99.35142679373935,-0.08450255432103165
99.30115352302737,-0.10046902655925519
99.25088025231537,-0.10046902655925519
99.20060698160337,-0.10046902655925519
99.15033371089139,-0.09818810195379468
99.10006044017939,-0.09818810195379468
99.0497871694674,-0.10446064461881106
98.99951389875541,-0.10446064461881106
98.94924062804341,-0.10446064461881106
98.89896735733141,-0.12156757915976484
98.84869408661943,-0.12156757915976484
98.79842081590743,-0.12784012182478122
98.74814754519544,-0.12784012182478122
98.69787427448345,-0.12784012182478122
98.64760100377146,-0.10046902655925519
98.59732773305946,-0.10046902655925519
98.54705446234748,-0.06910631323417327
98.49678119163548,-0.06910631323417327
98.44650792092348,-0.06967654438553839
98.39623465021148,-0.06967654438553839
98.3459613794995,-0.044586373725472854
98.2956881087875,-0.044586373725472854
98.2454148380755,-0.047437529482298485
98.19514156736352,-0.047437529482298485
98.14486829665152,-0.03717336875772622
98.09459502593953,-0.036603137606361094
98.04432175522754,0.0010321183837372072
97.99404848451555,0.023841364438342238
97.94377521380355,0.027832982497898118
97.89350194309156,0.039237605525200635
97.84322867237957,0.045510148190217016
97.79295540166757,0.05064222855250315
97.74268213095559,0.09455002720761783
97.69240886024359,0.09455002720761783
97.64213558953159,0.07915378612075943
97.59186231881961,0.07915378612075943
97.54158904810761,0.07915378612075943
97.49131577739561,0.08542632878577583
97.44104250668363,0.08542632878577583
97.39076923597163,0.0894179468453317
97.34049596525963,0.09397979605625272
97.29022269454765,0.11964019786768337
97.23994942383565,0.12420204707860437
97.18967615312366,0.1247722782299695
97.13940288241167,0.1470112931332094
97.08912961169968,0.14758152428457452
97.03885634098768,0.14758152428457452
96.9885830702757,0.15385406694959092
96.9383097995637,0.17951446876102156
96.8880365288517,0.17951446876102156
96.83776325813972,0.17438238839873543
96.78748998742772,0.17438238839873543
96.73721671671572,0.18635724257740308
96.68694344600374,0.20574510172381735
96.63667017529174,0.21030695093473836
96.58639690457974,0.2200008805079455
96.53612363386776,0.2200008805079455
96.48585036315576,0.20973671978337324
96.43557709244376,0.19776186560470557
96.38530382173178,0.19776186560470557
96.33503055101978,0.21600926244838964
96.28475728030779,0.22342226741613624
96.2344840095958,0.235967352746169
96.1842107388838,0.24794220692483668
96.13393746817181,0.24794220692483668
96.08366419745983,0.2462315134707413
96.03339092674783,0.2621979857089648
95.98311765603583,0.2713216841308068
95.93284438532385,0.2713216841308068
95.88257111461185,0.30553555321271436
95.83229784389985,0.3232127189050333
95.78202457318787,0.3323364173268753
95.73175130247587,0.3323364173268753
95.68147803176387,0.3391791911432568
95.63120476105189,0.3391791911432568
95.58093149033989,0.3813762963442761
95.5306582196279,0.3813762963442761
95.48038494891591,0.38194652749564123
95.43011167820391,0.4024748489447858
95.37983840749192,0.403615311247516
95.32956513677993,0.403615311247516
95.27929186606794,0.4093176227611673
95.22901859535594,0.4093176227611673
95.17874532464396,0.4093176227611673
95.12847205393196,0.4190115523343744
95.07819878321996,0.4383994114807887
95.02792551250798,0.4383994114807887
94.97765224179598,0.4383994114807887
94.92737897108398,0.42870548190758156
94.87710570037198,0.42813525075621645
94.82683242966,0.4241436326966605
94.776559158948,0.4241436326966605
94.726285888236,0.41387947197208824
94.67601261752402,0.4087473916098021
94.62573934681203,0.4087473916098021
94.57546607610003,0.4372589491780584
94.52519280538804,0.4372589491780584
94.47491953467605,0.4372589491780584
94.42464626396405,0.4372589491780584
94.37437299325207,0.4498040345080912
94.32409972254007,0.45493611487037733
94.27382645182807,0.4720430494113311
94.22355318111609,0.4743239740167916
94.17327991040409,0.47888582322771256
94.1230066396921,0.5039759938877781
94.07273336898011,0.5085378430986992
94.02246009826811,0.5085378430986992
93.97218682755611,0.5330577826073996
93.92191355684413,0.5336280137587647
93.87164028613213,0.5359089383642252
93.82136701542014,0.5410410187265113
93.77109374470815,0.5410410187265113
93.72082047399616,0.5410410187265113
93.67054720328416,0.5786762747166095
93.62027393257218,0.5786762747166095
93.57000066186018,0.5581479532674651
93.51972739114818,0.5581479532674651
93.4694541204362,0.5798167370193399
93.4191808497242,0.5906511288952773
93.3689075790122,0.5860892796843563
93.31863430830022,0.5906511288952773
