area_per_molecule (Ang^2/molecule),surface pressure (mN/m)
126.86077235772358,98.31715010974001
126.8109756097561,98.15066955570552
126.76117886178862,98.79068574860796
126.71138211382114,99.4474212512017
126.66158536585365,98.68034339423717
126.61178861788618,98.4793808544618
126.5619918699187,99.0505603156823
126.51219512195122,98.56592936627337
126.46239837398375,98.77325389603784
126.41260162601625,98.85659596489492
126.36280487804878,98.61934463422178
126.3130081300813,98.45970958141554
126.26321138211382,98.51503344636066
126.21341463414635,98.54816669022384
126.16361788617886,98.40593804202776
126.11382113821138,98.53111655705308
126.0640243902439,98.67611903288443
126.01422764227642,98.65464095468126
125.96443089430895,98.50681375529476
125.91463414634147,98.31503792906365
