area_per_molecule (Ang^2/molecule),surface pressure (mN/m)
113.91361788617886,98.63909225114791
113.86382113821138,98.63909225114791
113.8140243902439,98.62433243437323
113.76422764227642,98.61211741359418
113.71443089430895,98.59074112723083
113.66463414634147,98.57954402485004
113.61483739837398,98.57852610645179
113.5650406504065,98.5658021264736
113.51524390243902,98.55460502409281
113.46544715447155,98.52406747214516
113.41565040650407,98.49352992019755
113.36585365853658,98.4589206946569
113.3160569105691,98.4365264898953
113.26626016260163,98.42634730591276
113.21646341463415,98.42023979552323
113.16666666666667,98.40955165234155
113.11686991869918,98.40751581554504
113.0670731707317,98.40751581554504
113.01727642276423,98.40751581554504
112.96747967479675,98.40395310115116
112.91768292682927,98.40395310115116
112.8678861788618,98.40955165234155
112.8180894308943,98.42787418351013
112.76829268292683,98.42787418351013
112.71849593495935,98.43703544909442
112.66869918699187,98.4400892042892
112.6189024390244,98.43703544909442
112.5691056910569,98.43958024509006
112.51930894308943,98.43958024509006
112.46951219512195,98.4609565314534
112.41971544715447,98.46909987863944
112.369918699187,98.46909987863944
112.3201219512195,98.44466983708134
112.27032520325203,98.44059816348832
112.22052845528455,98.44059816348832
112.17073170731707,98.45688485786039
112.1209349593496,98.45586693946213
112.07113821138212,98.44925046987348
112.02134146341463,98.44568775547958
111.97154471544715,98.42023979552323
111.92174796747967,98.42023979552323
111.8719512195122,98.42023979552323
111.82215447154472,98.40191726435465
111.77235772357723,98.40191726435465
111.72256097560975,98.40191726435465
111.67276422764228,98.40497101954941
111.6229674796748,98.41107852993893
111.57317073170732,98.4120964483372
111.52337398373983,98.41464124433283
111.47357723577235,98.44314295948395
111.42378048780488,98.47113571543593
111.3739837398374,98.4777521850246
111.32418699186992,98.49963743058706
111.27439024390245,98.51541516576
111.22459349593495,98.52304955374692
111.17479674796748,98.53271977853034
111.125,98.5378093705216
111.07520325203252,98.56631108567272
111.02540650406505,98.61466220958981
110.97560975609755,98.631457863161
110.92581300813008,98.64163704714355
110.8760162601626,98.66657604790078
110.82621951219512,98.66657604790078
110.77642276422765,98.66962980309555
110.72662601626017,98.6650491703034
110.67682926829268,98.6574147823165
110.6270325203252,98.64265496554181
110.57723577235772,98.6350205775549
110.52743902439025,98.6350205775549
110.47764227642277,98.63400265915664
110.42784552845528,98.62993098556362
110.3780487804878,98.62331451597497
110.32825203252033,98.6126263727933
110.27845528455285,98.56478420807534
110.22865853658537,98.55765877928756
110.17886178861788,98.55765877928756
110.1290650406504,98.5490064729024
110.07926829268293,98.54188104411462
110.02947154471545,98.53221081933121
109.97967479674797,98.53221081933121
109.9298780487805,98.55409606489368
109.880081300813,98.55409606489368
109.83028455284553,98.54035416651723
109.78048780487805,98.54035416651723
109.73069105691057,98.5413720849155
109.6808943089431,98.54646167690677
109.6310975609756,98.5413720849155
109.58130081300813,98.52355851294604
109.53150406504065,98.51388828816263
109.48170731707317,98.50879869617135
109.4319105691057,98.50879869617135
109.3821138211382,98.52763018653906
109.33231707317073,98.53119290093295
109.28252032520325,98.52763018653906
109.23272357723577,98.53119290093295
109.1829268292683,98.5301749825347
109.13313008130082,98.5301749825347
109.08333333333333,98.52254059454779
109.03353658536585,98.52254059454779
108.98373983739837,98.52254059454779
108.9339430894309,98.51134349216699
108.88414634146342,98.50472702257834
108.83434959349593,98.50472702257834
108.78455284552845,98.50472702257834
108.73475609756098,98.50421806337921
108.6849593495935,98.50421806337921
108.63516260162602,98.49403887939667
108.58536585365853,98.48233281781674
108.53556910569105,98.47826114422372
108.48577235772358,98.47317155223246
108.4359756097561,98.47317155223246
108.38617886178862,98.47622530742721
108.33638211382114,98.4777521850246
108.28658536585365,98.48182385861762
108.23678861788618,98.48182385861762
108.1869918699187,98.50065534898532
108.13719512195122,98.51287036976437
108.08739837398375,98.51745100255651
108.03760162601625,98.51745100255651
107.98780487804878,98.51948683935302
107.9380081300813,98.55307814649542
107.88821138211382,98.55307814649542
107.83841463414635,98.55256918729629
107.78861788617886,98.53170186013207
107.73882113821138,98.53119290093295
107.6890243902439,98.53068394173383
107.63922764227642,98.52763018653906
107.58943089430895,98.50320014498095
107.53963414634147,98.50320014498095
107.48983739837398,98.50727181857397
107.4400406504065,98.51388828816263
107.39024390243902,98.53577353372509
107.34044715447155,98.53577353372509
107.29065040650407,98.52763018653906
107.24085365853658,98.52763018653906
107.1910569105691,98.55409606489368
107.14126016260163,98.56885588166836
107.09146341463415,98.57445443285876
107.04166666666667,98.58412465764218
106.99186991869918,98.63043994476276
106.9420731707317,98.62687723036886
106.89227642276423,98.62687723036886
106.84247967479675,98.65588790471911
106.79268292682927,98.67573731348507
106.7428861788618,98.69151504865802
106.6930894308943,98.72459739660128
106.64329268292683,98.74037513177421
106.59349593495935,98.7530991117524
106.54369918699187,98.7530991117524
106.4939024390244,98.7510632749559
106.4441056910569,98.7510632749559
106.39430894308943,98.77854707170877
106.34451219512195,98.76226037733669
106.29471544715447,98.75717078534542
106.244918699187,98.75717078534542
106.1951219512195,98.75717078534542
106.14532520325203,98.75208119335414
106.09552845528455,98.73324970298644
106.04573170731707,98.73121386618993
105.9959349593496,98.70831070222921
105.94613821138212,98.68286274227285
105.89634146341463,98.66352229270602
105.84654471544715,98.65537894551998
105.79674796747967,98.62229659757672
105.7469512195122,98.61415325039069
105.69715447154472,98.60142927041251
105.64735772357723,98.59888447441686
105.59756097560975,98.59633967842123
105.54776422764228,98.59175904562909
105.4979674796748,98.58972320883258
105.44817073170732,98.58870529043432
105.39837398373983,98.56783796327011
105.34857723577235,98.56783796327011
105.29878048780488,98.56783796327011
105.2489837398374,98.56732900407098
105.19918699186992,98.56732900407098
