----isotherm parameters----
start time: ,2022-12-02 15:04:51.898750+00:00
end time: ,2022-12-02 15:07:15.601967+00:00
number of smooting values: ,1
total sample steps: ,1500
stepper delay: ,0.005
area_change_expected: ,9.98993e+17
molecules deposited: ,1.3247503572e+16
moles in: ,2.1998e-08
plate perimeter: ,25.08036
plate width: ,12.54
isotherm type: ,Compression
area_per_mol: ,38.82240885649117
area_per_step: ,665995333333333.4
trough_open_ang: ,1.513293e+18
barrier_pos: ,1500
barrier_closed: ,1500
----isotherm data----
barrier_pos,area_per_mol,press_val,surface_pressure,surface_tension,sdt
1,114.18204165377723,-1.6868520896570351,-1.6868520896570351,74.43685208965704,19328.62837956185
2,114.13176838306525,-1.6868520896570351,-1.6868520896570351,74.43685208965704,19328.628380679605
3,114.08149511235325,-1.6708856174188116,-1.6708856174188116,74.42088561741882,19328.62838179441
4,114.03122184164125,-1.6663237682078904,-1.6663237682078904,74.41632376820789,19328.628382904608
5,113.98094857092927,-1.6708856174188116,-1.6708856174188116,74.42088561741882,19328.62838400244
6,113.93067530021727,-1.6862818585056698,-1.6862818585056698,74.43628185850567,19328.628385106542
7,113.88040202950528,-1.6862818585056698,-1.6862818585056698,74.43628185850567,19328.628386225984
8,113.8301287587933,-1.6862818585056698,-1.6862818585056698,74.43628185850567,19328.62838733249
9,113.7798554880813,-1.704529255349354,-1.704529255349354,74.45452925534936,19328.628388440706
10,113.7295822173693,-1.7233468833444032,-1.7233468833444032,74.4733468833444,19328.62838955854
11,113.67930894665732,-1.7233468833444032,-1.7233468833444032,74.4733468833444,19328.628390664213
12,113.62903567594532,-1.6988269438357027,-1.6988269438357027,74.4488269438357,19328.628391782106
13,113.57876240523332,-1.6988269438357027,-1.6988269438357027,74.4488269438357,19328.628392888542
14,113.52848913452134,-1.6988269438357027,-1.6988269438357027,74.4488269438357,19328.62839399206
15,113.47821586380934,-1.6925544011706863,-1.6925544011706863,74.44255440117068,19328.62839510198
16,113.42794259309734,-1.7159338783766567,-1.7159338783766567,74.46593387837666,19328.628396207117
17,113.37766932238536,-1.7261980391012286,-1.7261980391012286,74.47619803910123,19328.628397324454
18,113.32739605167336,-1.7261980391012286,-1.7261980391012286,74.47619803910123,19328.628398423854
19,113.27712278096136,-1.6902734765652259,-1.6902734765652259,74.44027347656522,19328.628399526355
20,113.22684951024938,-1.6902734765652259,-1.6902734765652259,74.44027347656522,19328.628400651076
21,113.17657623953738,-1.7153636472252913,-1.7153636472252913,74.46536364722529,19328.62840175779
22,113.12630296882539,-1.7758081492699946,-1.7758081492699946,74.52580814926999,19328.628402870832
23,113.0760296981134,-1.7758081492699946,-1.7758081492699946,74.52580814926999,19328.62840396772
24,113.0257564274014,-1.7758081492699946,-1.7758081492699946,74.52580814926999,19328.62840507212
25,112.9754831566894,-1.7963364707191392,-1.7963364707191392,74.54633647071914,19328.628406189215
26,112.92520988597742,-1.7974769330218696,-1.7974769330218696,74.54747693302187,19328.628407297456
27,112.87493661526543,-1.7974769330218696,-1.7974769330218696,74.54747693302187,19328.628408388427
28,112.82466334455343,-1.8117327118059976,-1.8117327118059976,74.561732711806,19328.628409507823
29,112.77439007384145,-1.8117327118059976,-1.8117327118059976,74.561732711806,19328.62841061339
30,112.72411680312945,-1.8385335759201586,-1.8385335759201586,74.58853357592015,19328.628411731795
31,112.67384353241745,-1.8066006314437115,-1.8066006314437115,74.55660063144371,19328.628412829075
32,112.62357026170547,-1.8054601691409813,-1.8054601691409813,74.55546016914099,19328.628413932245
33,112.57329699099347,-1.8054601691409813,-1.8054601691409813,74.55546016914099,19328.62841505043
34,112.52302372028147,-1.8054601691409813,-1.8054601691409813,74.55546016914099,19328.628416157248
35,112.47275044956949,-1.7769486115727249,-1.7769486115727249,74.52694861157272,19328.628417275013
36,112.42247717885749,-1.7769486115727249,-1.7769486115727249,74.52694861157272,19328.628418373497
37,112.3722039081455,-1.8020387822327906,-1.8020387822327906,74.55203878223278,19328.628419477755
38,112.32193063743351,-1.8020387822327906,-1.8020387822327906,74.55203878223278,19328.628420612986
39,112.27165736672151,-1.780940229632281,-1.780940229632281,74.53094022963228,19328.628421704987
40,112.22138409600952,-1.7763783804213598,-1.7763783804213598,74.52637838042136,19328.628422819747
41,112.17111082529753,-1.7706760689077086,-1.7706760689077086,74.5206760689077,19328.628423916725
42,112.12083755458553,-1.7581309835776757,-1.7581309835776757,74.50813098357767,19328.62842502302
43,112.07056428387354,-1.7581309835776757,-1.7581309835776757,74.50813098357767,19328.628426155126
44,112.02029101316154,-1.7421645113394524,-1.7421645113394524,74.49216451133945,19328.628427261654
45,111.97001774244956,-1.7421645113394524,-1.7421645113394524,74.49216451133945,19328.628428352386
46,111.91974447173756,-1.7421645113394524,-1.7421645113394524,74.49216451133945,19328.6284294739
47,111.86947120102556,-1.7547095966694852,-1.7547095966694852,74.50470959666949,19328.62843058028
48,111.81919793031358,-1.7547095966694852,-1.7547095966694852,74.50470959666949,19328.62843170557
49,111.76892465960158,-1.7547095966694852,-1.7547095966694852,74.50470959666949,19328.628432802765
50,111.71865138888958,-1.759271445880406,-1.759271445880406,74.5092714458804,19328.628433909653
51,111.6683781181776,-1.749577516307199,-1.749577516307199,74.4995775163072,19328.62843501955
52,111.6181048474656,-1.7353217375230707,-1.7353217375230707,74.48532173752307,19328.628436154966
53,111.5678315767536,-1.7353217375230707,-1.7353217375230707,74.48532173752307,19328.628437258023
54,111.51755830604162,-1.7330408129176103,-1.7330408129176103,74.48304081291761,19328.628438342475
55,111.46728503532962,-1.7341812752203405,-1.7341812752203405,74.48418127522034,19328.628439446573
56,111.41701176461763,-1.7341812752203405,-1.7341812752203405,74.48418127522034,19328.628440563032
57,111.36673849390564,-1.7284789637066893,-1.7284789637066893,74.47847896370669,19328.62844167133
58,111.31646522319365,-1.6988269438357027,-1.6988269438357027,74.4488269438357,19328.62844278778
59,111.26619195248165,-1.6988269438357027,-1.6988269438357027,74.4488269438357,19328.628443885
60,111.21591868176966,-1.7353217375230707,-1.7353217375230707,74.48532173752307,19328.628444989943
61,111.16564541105767,-1.7393133555826266,-1.7393133555826266,74.48931335558262,19328.62844610984
62,111.11537214034567,-1.7393133555826266,-1.7393133555826266,74.48931335558262,19328.628447217616
63,111.06509886963369,-1.7261980391012286,-1.7261980391012286,74.47619803910123,19328.628448307452
64,111.01482559892169,-1.7176445718307518,-1.7176445718307518,74.46764457183075,19328.628449426564
65,110.96455232820969,-1.714223184922561,-1.714223184922561,74.46422318492256,19328.628450575325
66,110.91427905749771,-1.7176445718307518,-1.7176445718307518,74.46764457183075,19328.628451661665
67,110.86400578678571,-1.7102315668630053,-1.7102315668630053,74.460231566863,19328.628452763925
68,110.81373251607371,-1.7250575767984984,-1.7250575767984984,74.47505757679849,19328.62845385595
69,110.76345924536173,-1.73190035061488,-1.73190035061488,74.48190035061488,19328.628454984235
70,110.71318597464973,-1.7296194260094195,-1.7296194260094195,74.47961942600942,19328.628456082963
71,110.66291270393774,-1.714223184922561,-1.714223184922561,74.46422318492256,19328.628457204562
72,110.61263943322575,-1.714223184922561,-1.714223184922561,74.46422318492256,19328.628458303505
73,110.56236616251375,-1.7376026621285312,-1.7376026621285312,74.48760266212854,19328.62845941345
74,110.51209289180176,-1.7376026621285312,-1.7376026621285312,74.48760266212854,19328.628460524305
75,110.46181962108977,-1.7381728932798963,-1.7381728932798963,74.4881728932799,19328.628461633718
76,110.41154635037778,-1.7433049736421826,-1.7433049736421826,74.49330497364218,19328.62846274733
77,110.36127307966578,-1.7433049736421826,-1.7433049736421826,74.49330497364218,19328.628463849273
78,110.3109998089538,-1.7376026621285312,-1.7376026621285312,74.48760266212854,19328.628464957765
79,110.2607265382418,-1.73190035061488,-1.73190035061488,74.48190035061488,19328.628466067814
80,110.2104532675298,-1.73190035061488,-1.73190035061488,74.48190035061488,19328.628467179176
81,110.16017999681782,-1.73190035061488,-1.73190035061488,74.48190035061488,19328.628468276853
82,110.10990672610582,-1.7119422603171006,-1.7119422603171006,74.4619422603171,19328.628469392024
83,110.05963345539382,-1.694835325776147,-1.694835325776147,74.44483532577615,19328.628470497257
84,110.00936018468184,-1.694835325776147,-1.694835325776147,74.44483532577615,19328.628471611737
85,109.95908691396984,-1.7433049736421826,-1.7433049736421826,74.49330497364218,19328.62847274471
86,109.90881364325784,-1.7433049736421826,-1.7433049736421826,74.49330497364218,19328.628473850822
87,109.85854037254586,-1.7336110440689756,-1.7336110440689756,74.48361104406898,19328.628474946585
88,109.80826710183386,-1.7336110440689756,-1.7336110440689756,74.48361104406898,19328.628476054466
89,109.75799383112187,-1.7336110440689756,-1.7336110440689756,74.48361104406898,19328.628477152026
90,109.70772056040988,-1.7336110440689756,-1.7336110440689756,74.48361104406898,19328.62847825252
91,109.65744728969788,-1.6822902404461142,-1.6822902404461142,74.43229024044611,19328.6284793556
92,109.60717401898589,-1.6822902404461142,-1.6822902404461142,74.43229024044611,19328.62848048448
93,109.5569007482739,-1.7159338783766567,-1.7159338783766567,74.46593387837666,19328.62848159382
94,109.5066274775619,-1.7159338783766567,-1.7159338783766567,74.46593387837666,19328.62848271074
95,109.45635420684991,-1.6840009339002093,-1.6840009339002093,74.43400093390021,19328.628483811597
96,109.40608093613793,-1.718785034133482,-1.718785034133482,74.46878503413348,19328.628484900382
97,109.35580766542593,-1.7204957275875774,-1.7204957275875774,74.47049572758758,19328.628486031135
98,109.30553439471393,-1.7204957275875774,-1.7204957275875774,74.47049572758758,19328.628487184953
99,109.25526112400195,-1.714223184922561,-1.714223184922561,74.46422318492256,19328.628488239097
100,109.20498785328995,-1.6942650946247817,-1.6942650946247817,74.44426509462478,19328.62848934543
101,109.15471458257795,-1.6942650946247817,-1.6942650946247817,74.44426509462478,19328.628490452997
102,109.10444131186597,-1.6936948634734166,-1.6936948634734166,74.44369486347341,19328.628491572083
103,109.05416804115397,-1.699967406138433,-1.699967406138433,74.44996740613843,19328.62849266595
104,109.00389477044197,-1.699967406138433,-1.699967406138433,74.44996740613843,19328.62849377213
105,108.95362149972999,-1.7079506422575448,-1.7079506422575448,74.45795064225754,19328.62849490037
106,108.903348229018,-1.722206421041673,-1.722206421041673,74.47220642104168,19328.62849600838
107,108.853074958306,-1.7159338783766567,-1.7159338783766567,74.46593387837666,19328.628497111342
108,108.80280168759401,-1.7159338783766567,-1.7159338783766567,74.46593387837666,19328.628498215232
109,108.75252841688201,-1.7108017980143704,-1.7108017980143704,74.46080179801437,19328.628499314305
110,108.70225514617002,-1.6891330142624956,-1.6891330142624956,74.4391330142625,19328.628500445822
111,108.65198187545802,-1.6891330142624956,-1.6891330142624956,74.4391330142625,19328.62850155376
112,108.60170860474604,-1.7056697176520843,-1.7056697176520843,74.45566971765209,19328.628502659987
113,108.55143533403404,-1.7056697176520843,-1.7056697176520843,74.45566971765209,19328.6285037556
114,108.50116206332204,-1.6840009339002093,-1.6840009339002093,74.43400093390021,19328.628504868957
115,108.45088879261006,-1.6840009339002093,-1.6840009339002093,74.43400093390021,19328.62850599133
116,108.40061552189806,-1.6862818585056698,-1.6862818585056698,74.43628185850567,19328.628507100373
117,108.35034225118606,-1.691413938867956,-1.691413938867956,74.44141393886795,19328.628508191086
118,108.30006898047408,-1.691413938867956,-1.691413938867956,74.44141393886795,19328.628509312257
119,108.24979570976208,-1.691413938867956,-1.691413938867956,74.44141393886795,19328.628510419447
120,108.19952243905009,-1.6919841700193212,-1.6919841700193212,74.44198417001932,19328.628511544433
121,108.1492491683381,-1.7022483307438936,-1.7022483307438936,74.4522483307439,19328.628512634652
122,108.0989758976261,-1.7279087325553242,-1.7279087325553242,74.47790873255532,19328.628513736658
123,108.0487026269141,-1.7279087325553242,-1.7279087325553242,74.47790873255532,19328.62851485596
124,107.99842935620212,-1.7279087325553242,-1.7279087325553242,74.47790873255532,19328.62851596101
125,107.94815608549013,-1.7102315668630053,-1.7102315668630053,74.460231566863,19328.628517079513
126,107.89788281477813,-1.7102315668630053,-1.7102315668630053,74.460231566863,19328.628518179466
127,107.84760954406615,-1.700537637289798,-1.700537637289798,74.4505376372898,19328.628519278936
128,107.79733627335415,-1.7153636472252913,-1.7153636472252913,74.46536364722529,19328.628520397142
129,107.74706300264215,-1.717074340679387,-1.717074340679387,74.46707434067939,19328.628521503193
130,107.69678973193017,-1.7244873456471335,-1.7244873456471335,74.47448734564713,19328.62852262024
131,107.64651646121817,-1.726768270252594,-1.726768270252594,74.47676827025259,19328.628523716772
132,107.59624319050617,-1.726768270252594,-1.726768270252594,74.47676827025259,19328.628524822154
133,107.54596991979419,-1.7244873456471335,-1.7244873456471335,74.47448734564713,19328.62852594088
134,107.49569664908219,-1.7108017980143704,-1.7108017980143704,74.46080179801437,19328.6285270477
135,107.4454233783702,-1.7108017980143704,-1.7108017980143704,74.46080179801437,19328.628528139816
136,107.39515010765821,-1.7028185618952585,-1.7028185618952585,74.45281856189526,19328.628529271922
137,107.34487683694621,-1.7028185618952585,-1.7028185618952585,74.45281856189526,19328.628530377813
138,107.29460356623422,-1.7028185618952585,-1.7028185618952585,74.45281856189526,19328.628531482143
139,107.24433029552223,-1.6840009339002093,-1.6840009339002093,74.43400093390021,19328.628532593728
140,107.19405702481023,-1.6840009339002093,-1.6840009339002093,74.43400093390021,19328.62853369722
141,107.14378375409824,-1.6982567126843378,-1.6982567126843378,74.44825671268434,19328.628534815183
