----isotherm parameters----
start time: ,2022-11-30 14:01:53.142117+00:00
end time: ,2022-11-30 14:11:27.951494+00:00
number of smooting values: ,3
total sample steps: ,2000
stepper delay: ,0.001
area_change_expected: ,1.4e+18
molecules deposited: ,1.23e+16
----isotherm data----
barrier_pos,area_per_mol,press_val,surface_pressure,surface_tension,sdt
1,128.27642276422765,-1.5592229533583228,-1.5626443402665133,74.31264434026652,19326.58464616654
2,128.21951219512195,-1.5704374993351704,-1.5586527222069577,74.30865272220696,19326.584649490153
3,128.16260162601625,-1.5791810436561022,-1.5894452043806744,74.33944520438068,19326.58465283383
4,128.10569105691056,-1.5801314289083777,-1.5820321994129278,74.33203219941292,19326.584656150557
5,128.0487804878049,-1.5922963601375002,-1.5974284404997863,74.34742844049978,19326.584659470172
6,127.99186991869918,-1.6114941422334592,-1.6122544504352794,74.36225445043527,19326.584662812977
7,127.9349593495935,-1.6164361455452905,-1.6247995357653122,74.3747995357653,19326.58466613274
8,127.8780487804878,-1.6145353750407399,-1.6094032946784538,74.35940329467846,19326.584669458876
9,127.82113821138212,-1.5947673617934155,-1.6031307520134372,74.35313075201344,19326.58467278307
10,127.76422764227642,-1.6088330635270889,-1.605981907770263,74.35598190777026,19326.584676098322
11,127.70731707317073,-1.6132048356875546,-1.6168162996462003,74.3668162996462,19326.58467941854
12,127.65040650406505,-1.6179567619489308,-1.618526993100296,74.36852699310029,19326.584682775014
13,127.59349593495935,-1.6301216931780533,-1.6316423095816937,74.3816423095817,19326.584686093564
14,127.53658536585365,-1.6265102292194076,-1.6196674554030261,74.36966745540303,19326.584689412
15,127.47967479674797,-1.63791485224671,-1.647038550668552,74.39703855066855,19326.58469274507
16,127.42276422764228,-1.6160559914443802,-1.61567583734347,74.36567583734347,19326.584696061054
17,127.36585365853658,-1.6255598439671324,-1.6276506915221378,74.37765069152213,19326.584699379746
18,127.3089430894309,-1.609973525829819,-1.609973525829819,74.35997352582982,19326.584702722397
19,127.2520325203252,-1.6038910602152576,-1.600849827407977,74.35084982740798,19326.584706055208
20,127.1951219512195,-1.5845032010688433,-1.5763298878992766,74.32632988789928,19326.584709373714
21,127.13821138211382,-1.592106283087045,-1.5689168829315296,74.31891688293153,19326.58471269698
22,127.08130081300813,-1.5449671745741946,-1.5318518580927967,74.2818518580928,19326.584716024376
23,127.02439024390245,-1.5392648630605432,-1.5540908729960365,74.30409087299604,19326.584719343868
24,126.96747967479675,-1.543066404069644,-1.5267197777305104,74.2767197777305,19326.584722685948
25,126.91056910569105,-1.5212075432673142,-1.5193067727627638,74.26930677276276,19326.584726004246
26,126.85365853658537,-1.5079021497354617,-1.5033403005245405,74.25334030052454,19326.58472932325
27,126.79674796747967,-1.5424961729182793,-1.5386946319091783,74.28869463190918,19326.58473264588
