----isotherm parameters----,
start time: ,2022-11-30 13:51:41.409098+00:00
end time: ,2022-11-30 13:54:52.980683+00:00
number of smooting values: ,1
total sample steps: ,2000
stepper delay: ,0.001
area_change_expected: ,1.40E+18
molecules deposited: ,1.23E+16
----isotherm data----,
area_per_molecule (Ang^2/molecule),surface pressure (mN/m)
111.6585366,-0.093728894
111.601626,-0.119389296
111.5447154,-0.119389296
111.4878049,-0.165578019
111.4308943,-0.1707101
111.3739837,-0.1707101
111.3170732,-0.1707101
111.2601626,-0.1707101
111.203252,-0.1707101
111.1463415,-0.1707101
111.0894309,-0.180974261
111.0325203,-0.171850562
110.9756098,-0.171850562
110.9186992,-0.158165014
110.8617886,-0.165578019
110.804878,-0.166148251
110.7479675,-0.166148251
110.6910569,-0.129653457
110.6341463,-0.129653457
110.5772358,-0.146760391
110.5203252,-0.150181778
110.4634146,-0.158165014
110.4065041,-0.158165014
110.3495935,-0.165007788
110.2926829,-0.165007788
110.2357724,-0.182684954
110.1788618,-0.182684954
110.1219512,-0.167858944
110.0650407,-0.130793919
110.0081301,-0.130793919
109.9512195,-0.125661839
109.8943089,-0.12623207
109.8373984,-0.124521377
109.7804878,-0.11140606
109.7235772,-0.10627398
109.6666667,-0.09144797
109.6097561,-0.09144797
109.5528455,-0.10171213
109.495935,-0.113116753
109.4390244,-0.134785537
109.3821138,-0.134785537
109.3252033,-0.119959527
109.2682927,-0.102852593
109.2113821,-0.10171213
109.1544715,-0.102852593
109.097561,-0.119389296
109.0406504,-0.119389296
108.9837398,-0.090877739
108.9268293,-0.090877739
108.8699187,-0.110835829
108.8130081,-0.112546522
108.7560976,-0.118248834
108.699187,-0.131934381
108.6422764,-0.117678603
108.5853659,-0.117678603
108.5284553,-0.117678603
108.4715447,-0.124521377
108.4146341,-0.124521377
108.3577236,-0.124521377
108.300813,-0.129653457
108.2439024,-0.134215306
108.1869919,-0.134215306
108.1300813,-0.136496231
108.0731707,-0.146760391
108.0162602,-0.146760391
107.9593496,-0.125661839
107.902439,-0.142768773
107.8455285,-0.142768773
107.7886179,-0.142768773
107.7317073,-0.14619016
107.6747967,-0.14619016
107.6178862,-0.14619016
107.5609756,-0.140487849
107.504065,-0.140487849
107.4471545,-0.133645075
107.3902439,-0.133645075
107.3333333,-0.137066462
107.2764228,-0.140487849
107.2195122,-0.143909236
107.1626016,-0.142768773
107.1056911,-0.142768773
107.0487805,-0.127942763
106.9918699,-0.11653814
106.9349593,-0.11653814
106.8780488,-0.122240452
106.8211382,-0.122240452
106.7642276,-0.098860975
106.7073171,-0.098860975
106.6504065,-0.135355768
106.5934959,-0.135355768
106.5365854,-0.125661839
106.4796748,-0.118819065
106.4227642,-0.105703749
106.3658537,-0.073770804
106.3089431,-0.073770804
106.2520325,-0.086315889
106.195122,-0.086315889
106.1382114,-0.082324271
106.0813008,-0.082324271
106.0243902,-0.102282362
105.9674797,-0.102282362
105.9105691,-0.09658005
105.8536585,-0.09658005
105.796748,-0.077762422
105.7398374,-0.077762422
105.6829268,-0.098860975
105.6260163,-0.098860975
105.5691057,-0.065787568
105.5121951,-0.065787568
105.4552846,-0.058374563
105.398374,-0.058374563
105.3414634,-0.058374563
105.2845528,-0.058944794
105.2276423,-0.073770804
105.1707317,-0.07662196
105.1138211,-0.073770804
105.0569106,-0.070919648
105,-0.042978322
104.9430894,-0.043548553
104.8861789,-0.058374563
104.8292683,-0.048680633
104.7723577,-0.048680633
104.7154472,-0.044689015
104.6585366,-0.033284392
104.601626,-0.033284392
104.5447154,-0.042408091
104.4878049,-0.042408091
104.4308943,-0.042408091
104.3739837,-0.043548553
104.3170732,-0.050961558
104.2601626,-0.050961558
104.203252,-0.038986704
104.1463415,-0.036135548
104.0894309,-0.036135548
104.0325203,-0.036135548
103.9756098,-0.040697397
103.9186992,-0.042978322
103.8617886,-0.054382945
103.804878,-0.05666387
103.7479675,-0.054382945
103.6910569,-0.054382945
103.6341463,-0.049821096
103.5772358,-0.033284392
103.5203252,-0.02245
103.4634146,-0.007053759
103.4065041,-0.013896533
103.3495935,-0.031003468
103.2926829,-0.031003468
